spectrum_id,mineral_id,source,instrument,sample_name
SPC-000504,7,RELAB,UNKNOWN,c1ck33
SPC-000505,7,RELAB,UNKNOWN,c1ck34
SPC-000506,7,RELAB,UNKNOWN,c1ck35
SPC-000507,7,RELAB,UNKNOWN,c1ck36
SPC-000508,7,RELAB,UNKNOWN,c1ck44
SPC-000509,7,RELAB,UNKNOWN,c1ck45
SPC-000510,7,RELAB,UNKNOWN,c1ck46
SPC-000511,7,RELAB,UNKNOWN,c1ck47
SPC-000512,7,RELAB,UNKNOWN,c1ck48
SPC-000513,7,RELAB,UNKNOWN,c1ck49
SPC-000514,7,RELAB,UNKNOWN,c1ck50
SPC-000515,7,RELAB,UNKNOWN,c1ck51
SPC-000516,7,RELAB,UNKNOWN,c1ck52
SPC-000517,7,RELAB,UNKNOWN,c1ck53
SPC-000518,7,RELAB,UNKNOWN,c1ck54
SPC-000519,7,RELAB,UNKNOWN,c1ck55
SPC-000520,7,RELAB,UNKNOWN,c1ck56
SPC-000521,7,RELAB,UNKNOWN,c1ck57
SPC-000522,7,RELAB,UNKNOWN,c1dd152
SPC-000523,7,RELAB,UNKNOWN,c1dd70
SPC-000524,7,RELAB,UNKNOWN,c1dd71
SPC-000525,7,RELAB,UNKNOWN,c1dd72
SPC-000526,7,RELAB,UNKNOWN,c1dd73
SPC-000527,7,RELAB,UNKNOWN,c1dd74
SPC-000528,7,RELAB,UNKNOWN,c1fb0313cp
SPC-000529,7,RELAB,UNKNOWN,c1jb235
SPC-000530,7,RELAB,UNKNOWN,c1mx100c2
SPC-000531,7,RELAB,UNKNOWN,c1mx101c2
SPC-000532,7,RELAB,UNKNOWN,c1mx102c2
SPC-000533,7,RELAB,UNKNOWN,c1mx103c2
SPC-000534,7,RELAB,UNKNOWN,c1mx104c2
SPC-000535,7,RELAB,UNKNOWN,c1mx98c2
SPC-000536,7,RELAB,UNKNOWN,c1mx99c2
SPC-000537,7,RELAB,UNKNOWN,c1pd01
SPC-000538,7,RELAB,UNKNOWN,c1pd06
SPC-000539,7,RELAB,UNKNOWN,c1pd07
SPC-000540,7,RELAB,UNKNOWN,c1pd08
SPC-000541,7,RELAB,UNKNOWN,c1pd09
SPC-000542,7,RELAB,UNKNOWN,c1pd10c2
SPC-000543,7,RELAB,UNKNOWN,c1po52
SPC-000544,7,RELAB,UNKNOWN,c1pp20
SPC-000545,7,RELAB,UNKNOWN,c1pp21
SPC-000546,7,RELAB,UNKNOWN,c1pp22
SPC-000547,7,RELAB,UNKNOWN,c1pp23
SPC-000548,7,RELAB,UNKNOWN,c1pp24
SPC-000549,7,RELAB,UNKNOWN,c1pp25
SPC-000550,7,RELAB,UNKNOWN,c1pp26
SPC-000551,7,RELAB,UNKNOWN,c2pd01
SPC-000552,7,RELAB,UNKNOWN,c2pp27
SPC-000553,7,RELAB,UNKNOWN,c3po53
SPC-000554,7,RELAB,UNKNOWN,c3pp22
